datetime,close,SMA_5,SMA_20,Return,Target,Strategy_Return,Cumulative_Strategy,Cumulative_BuyHold
2025-03-20 00:00:00,86151.4,86003.68,84531.205,-0.008010630176482736,0,-0.0,1.0,0.9919893698235173
2025-03-20 01:00:00,85852.6,86102.62000000001,84661.64,-0.0034683127610228848,1,-0.0034683127610228848,0.9965316872389771,0.9885488404333593
2025-03-20 02:00:00,86040.2,86211.62,84803.655,0.002185140578153666,0,0.0,0.9965316872389771,0.9907089586180771
2025-03-20 03:00:00,85988.0,86175.86000000002,84944.43,-0.000606693150411064,0,-0.0,0.9965316872389771,0.9901079022788326
2025-03-20 04:00:00,85651.2,85936.68,85056.18000000001,-0.003916825603572649,1,-0.003916825603572649,0.9926284464116281,0.9862298222968873
2025-03-20 05:00:00,85811.2,85868.64,85170.30500000001,0.0018680415452438925,0,0.0,0.9926284464116281,0.9880721405780963
2025-03-20 06:00:00,85792.2,85856.56,85285.025,-0.0002214163186157192,1,-0.0002214163186157192,0.9924086622752704,0.9878533652822028
2025-03-20 07:00:00,85843.7,85817.25999999998,85382.325,0.0006002876718396166,1,0.0006002876718396166,0.993004392960661,0.988446361478967
2025-03-20 08:00:00,86255.0,85870.65999999999,85511.91,0.0047912659869040475,0,0.0,0.993004392960661,0.9931822709106003
2025-03-20 09:00:00,85854.7,85911.36,85598.05,-0.004640890383166174,0,-0.0,0.993004392960661,0.9885730208608001
2025-03-20 10:00:00,85234.9,85796.1,85643.765,-0.007219173790136146,1,-0.007219173790136146,0.9858357216735093,0.9814363404189661
2025-03-20 11:00:00,85471.9,85732.04,85680.82999999999,0.0027805511592082777,0,0.0,0.9858357216735093,0.9841652743730072
2025-03-20 12:00:00,85351.0,85633.5,85719.045,-0.001414499970165517,1,-0.001414499970165517,0.984441257074614,0.9827731726217686
2025-03-20 13:00:00,85465.0,85475.5,85784.43,0.0013356609764385574,1,0.0013356609764385574,0.9857561368452847,0.9840858243971302
2025-03-20 14:00:00,86133.9,85531.34,85809.61,0.007826595682443038,0,0.0,0.9857561368452847,0.9917878662615102
2025-03-20 15:00:00,84674.1,85419.18,85771.9,-0.01694803091465713,0,-0.0,0.9857561368452847,0.9749790148433283
2025-03-20 16:00:00,83769.8,85078.76000000001,85692.495,-0.010679771027976681,1,-0.010679771027976681,0.9752284870143543,0.9645664622077192
2025-03-20 17:00:00,83992.7,84807.1,85617.37,0.0026608634615337134,1,0.0026608634615337134,0.9778234368620976,0.9671330418632286
2025-03-20 18:00:00,84026.9,84519.48000000001,85510.37499999999,0.00040717824287117566,1,0.00040717824287117566,0.9782215852909574,0.9675268373958371
2025-03-20 19:00:00,84165.0,84125.7,85376.26999999999,0.0016435213009167171,1,0.0016435213009167171,0.9798293133033996,0.9691169883623058
2025-03-20 20:00:00,84544.6,84099.8,85295.93,0.004510188320560937,0,0.0,0.9798293133033996,0.9734878884844747
2025-03-20 21:00:00,84359.0,84217.63999999998,85221.25,-0.0021952910061672215,0,-0.0,0.9798293133033996,0.971350799278272
2025-03-20 22:00:00,84135.5,84246.2,85126.015,-0.002649391291978276,1,-0.002649391291978276,0.9772333620531085,0.9687773109292079
